Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test level),Custom field (Test steps),Custom field (Testcase result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SC - Login -Try logging in with an already existing username and check if the user can login successfully.,N7-55,10276,Story,Done,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 9:17 AM,16/Feb/23 9:28 AM,22/Mar/23 10:42 PM,16/Feb/23 9:20 AM,,0,Login,"Email: [hoanganhquoc26032003@gmail.com|mailto:hoanganhquoc26032003@gmail.com]

pass : 123123",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,Login to website link successfully,,,,,,,,,N7-36,Login,,,Login to website link successfully,,,,,0|i0014f:,,BAN Sprint 1,,,,,,,,system,"B1:Enter Email
B2:Submit",Fail,,,Done
SC -Login - Check if the user gets an error message if the login details are incorrect,N7-54,10275,Story,Done,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 9:14 AM,16/Feb/23 9:33 AM,22/Mar/23 10:42 PM,16/Feb/23 9:16 AM,,0,Login,"Họ: Hoang

Tên : Quoc

[Emai:|mailto:Emai:xuanhung@gmail.com] hoanganhquoc26032003@gmail.com

pass:  quoc123456",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,Invalid account password,,,,,,,,,N7-36,Login,,,Invalid account password,,,,,0|i00147:,,BAN Sprint 1,,,,,,,,system,"B1: Enter all required fields
B2:Submit",Pass,,,Done
"SC -Verify Register - If the email already exists, the system will notify you that the email already exists",N7-53,10274,Story,To Do,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 9:08 AM,16/Feb/23 9:32 AM,22/Mar/23 10:42 PM,,,0,Register,"Họ: Hoang

Tên : Quoc

[Emai:|mailto:Emai:xuanhung@gmail.com] hoanganhquoc26032003@gmail.com

pass:  123123",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,Email system already exists,,,,,,,,,N7-37,Register,,,Email system already exists,,,,,0|i0013z:,,BAN Sprint 1,,,,,,,,system,"B1: Enter all required fields
B2:Submit",Pass,,,To Do
"SC -Verify Register - After successful registration, the system will notify successful registration",N7-51,10272,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 8:59 AM,16/Feb/23 9:31 AM,22/Mar/23 10:42 PM,,,0,Register,"Họ: Hoang

Tên : Quoc

[Emai:|mailto:Emai:xuanhung@gmail.com] hoanganhquoc26032003@gmail.com

pass:  123123",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,None,,,,,,,,,N7-37,Register,,,Sign Up Success,,,,,0|i0013j:,,BAN Sprint 1,,,,,,,,system,"B1: Enter all required fields
B2:Submit",Pass,,,To Do
"SC -Verify Register - After successful registration, log back in to your account to check if it works",N7-49,10270,Story,Done,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 7:43 AM,16/Feb/23 9:31 AM,22/Mar/23 10:42 PM,16/Feb/23 8:15 AM,,0,Login,"[Emai:|mailto:Emai:xuanhung@gmail.com] hoanganhquoc26032003@gmail.com

pass:  123123",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,Successfully logged into the site,,,,,,,,,N7-36,Login,,,Successfully logged into the site,,,,,0|i0013b:,,BAN Sprint 1,,,,,,,,system,"B1: Enter all required fields
B2:Submit",Pass,,,Done
"SC - Login ,Cart,Pay-After successful login, users can purchase goods and pay",N7-48,10269,Story,Done,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 7:43 AM,16/Feb/23 8:15 AM,22/Mar/23 10:42 PM,16/Feb/23 8:15 AM,,0,Login,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,,,,,,,,,,N7-36,Login,,,Users purchase and pay successfully,,,,,0|i00133:,,BAN Sprint 1,,,,,,,,system,"B1:Add Add product to cart
B2:Enter your delivery address information
B3: Click Payment",Pass,,,Done
SC - Login -Check if the forgot password function is linked to the account,N7-47,10268,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 7:42 AM,16/Feb/23 9:34 AM,22/Mar/23 10:42 PM,,,0,Login,Email: hoanganhquoc26032003@gmail.com,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,,,,,,,,,,N7-36,Login,,,Receive a verification code to recover your password,,,,,0|i0012v:,,BAN Sprint 1,,,,,,,,system,"B1:Enter Email
B2:Submit",Fail,,,To Do
"SC -Verify Register - If the registration is successful, the system will automatically login to the homepage",N7-45,10266,Story,Done,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,16/Feb/23 7:41 AM,16/Feb/23 9:30 AM,16/Feb/23 9:34 AM,16/Feb/23 8:15 AM,,0,Register,"Tên: Quoc

Họ: Hoang

[Emai:|mailto:Emai:xuanhung@gmail.com] hoanganhquoc26032003@gmail.com

pass: 123123",,Hoàng Anh Quốc,62a1fec3954f50006fccfebb,,,,,,,,,,,,Automatically login to the site,,,,,,,,,N7-37,Register,,,Automatically login to the site,,,,,0|i0012f:,,BAN Sprint 1,,,,,,,,system,"B1: Enter all required fields
B2:Submit",Pass,,,Done
IPRG16- Verify Rgister - FirstName First character cannot have space,N7-40,10261,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 11:01 AM,05/Jan/23 2:35 PM,16/Feb/23 7:39 AM,,,0,NewAccount,"test data:

Tên : ha

Họ: ha

email: h@gmail.com

mật khẩu; 12356",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,,,,,,,,,,BAN-8,New Account,,, PassWord must not be blank,,,,,0|i0011b:,,,,,,,,,,integration,,Fail,,,To Do
IPRG15- Verify Rgister - LastName First character cannot have space,N7-39,10260,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 10:59 AM,05/Jan/23 2:36 PM,22/Mar/23 10:42 PM,,,0,Register,"test data:

Tên : ha

Họ: ha

email: huj@gmail.com

mật khẩu; 12356",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,Value valid,,,,,,,,,N7-37,Register,,,LastName First character cannot have space,,,,,0|i00113:,,,,,,,,,,integration,enter all require,Fail,,,To Do
